image,class
TRAIN_kayak_80.mp4_frame0.jpg,kayak
TRAIN_kayak_80.mp4_frame1.jpg,kayak
TRAIN_kayak_80.mp4_frame10.jpg,kayak
TRAIN_kayak_80.mp4_frame100.jpg,kayak
TRAIN_kayak_80.mp4_frame1000.jpg,kayak
TRAIN_kayak_80.mp4_frame10000.jpg,kayak
TRAIN_kayak_80.mp4_frame10001.jpg,kayak
TRAIN_kayak_80.mp4_frame10002.jpg,kayak
TRAIN_kayak_80.mp4_frame10003.jpg,kayak
TRAIN_kayak_80.mp4_frame10004.jpg,kayak
TRAIN_kayak_80.mp4_frame10005.jpg,kayak
TRAIN_kayak_80.mp4_frame10006.jpg,kayak
TRAIN_kayak_80.mp4_frame10007.jpg,kayak
TRAIN_kayak_80.mp4_frame10008.jpg,kayak
TRAIN_kayak_80.mp4_frame10009.jpg,kayak
TRAIN_kayak_80.mp4_frame1001.jpg,kayak
TRAIN_kayak_80.mp4_frame10010.jpg,kayak
TRAIN_kayak_80.mp4_frame10011.jpg,kayak
TRAIN_kayak_80.mp4_frame10012.jpg,kayak
TRAIN_kayak_80.mp4_frame10013.jpg,kayak
TRAIN_kayak_80.mp4_frame10014.jpg,kayak
TRAIN_kayak_80.mp4_frame10015.jpg,kayak
TRAIN_kayak_80.mp4_frame10016.jpg,kayak
TRAIN_kayak_80.mp4_frame10017.jpg,kayak
TRAIN_kayak_80.mp4_frame10018.jpg,kayak
TRAIN_kayak_80.mp4_frame10019.jpg,kayak
TRAIN_kayak_80.mp4_frame1002.jpg,kayak
TRAIN_kayak_80.mp4_frame10020.jpg,kayak
TRAIN_kayak_80.mp4_frame10021.jpg,kayak
TRAIN_kayak_80.mp4_frame10022.jpg,kayak
TRAIN_kayak_80.mp4_frame10023.jpg,kayak
TRAIN_kayak_80.mp4_frame10024.jpg,kayak
TRAIN_kayak_80.mp4_frame10025.jpg,kayak
TRAIN_kayak_80.mp4_frame10026.jpg,kayak
TRAIN_kayak_80.mp4_frame10027.jpg,kayak
TRAIN_kayak_80.mp4_frame10028.jpg,kayak
TRAIN_kayak_80.mp4_frame10029.jpg,kayak
TRAIN_kayak_80.mp4_frame1003.jpg,kayak
TRAIN_kayak_80.mp4_frame10030.jpg,kayak
TRAIN_kayak_80.mp4_frame10031.jpg,kayak
TRAIN_kayak_80.mp4_frame10032.jpg,kayak
TRAIN_kayak_80.mp4_frame10033.jpg,kayak
TRAIN_kayak_80.mp4_frame10034.jpg,kayak
TRAIN_kayak_80.mp4_frame10035.jpg,kayak
TRAIN_kayak_80.mp4_frame10036.jpg,kayak
TRAIN_kayak_80.mp4_frame10037.jpg,kayak
TRAIN_kayak_80.mp4_frame10038.jpg,kayak
TRAIN_kayak_80.mp4_frame10039.jpg,kayak
TRAIN_kayak_80.mp4_frame1004.jpg,kayak
TRAIN_kayak_80.mp4_frame10040.jpg,kayak
TRAIN_kayak_80.mp4_frame10041.jpg,kayak
TRAIN_kayak_80.mp4_frame10042.jpg,kayak
TRAIN_kayak_80.mp4_frame10043.jpg,kayak
TRAIN_kayak_80.mp4_frame10044.jpg,kayak
TRAIN_kayak_80.mp4_frame10045.jpg,kayak
TRAIN_kayak_80.mp4_frame10046.jpg,kayak
TRAIN_kayak_80.mp4_frame10047.jpg,kayak
TRAIN_kayak_80.mp4_frame10048.jpg,kayak
TRAIN_kayak_80.mp4_frame10049.jpg,kayak
TRAIN_kayak_80.mp4_frame1005.jpg,kayak
TRAIN_kayak_80.mp4_frame10050.jpg,kayak
TRAIN_kayak_80.mp4_frame10051.jpg,kayak
TRAIN_kayak_80.mp4_frame10052.jpg,kayak
TRAIN_kayak_80.mp4_frame10053.jpg,kayak
TRAIN_kayak_80.mp4_frame10054.jpg,kayak
TRAIN_kayak_80.mp4_frame10055.jpg,kayak
TRAIN_kayak_80.mp4_frame10056.jpg,kayak
TRAIN_kayak_80.mp4_frame10057.jpg,kayak
TRAIN_kayak_80.mp4_frame10058.jpg,kayak
TRAIN_kayak_80.mp4_frame10059.jpg,kayak
TRAIN_kayak_80.mp4_frame1006.jpg,kayak
TRAIN_kayak_80.mp4_frame10060.jpg,kayak
TRAIN_kayak_80.mp4_frame10061.jpg,kayak
TRAIN_kayak_80.mp4_frame10062.jpg,kayak
TRAIN_kayak_80.mp4_frame10063.jpg,kayak
TRAIN_kayak_80.mp4_frame10064.jpg,kayak
TRAIN_kayak_80.mp4_frame10065.jpg,kayak
TRAIN_kayak_80.mp4_frame10066.jpg,kayak
TRAIN_kayak_80.mp4_frame10067.jpg,kayak
TRAIN_kayak_80.mp4_frame10068.jpg,kayak
TRAIN_kayak_80.mp4_frame10069.jpg,kayak
TRAIN_kayak_80.mp4_frame1007.jpg,kayak
TRAIN_kayak_80.mp4_frame10070.jpg,kayak
TRAIN_kayak_80.mp4_frame10071.jpg,kayak
TRAIN_kayak_80.mp4_frame10072.jpg,kayak
TRAIN_kayak_80.mp4_frame10073.jpg,kayak
TRAIN_kayak_80.mp4_frame10074.jpg,kayak
TRAIN_kayak_80.mp4_frame10075.jpg,kayak
TRAIN_kayak_80.mp4_frame10076.jpg,kayak
TRAIN_kayak_80.mp4_frame10077.jpg,kayak
TRAIN_kayak_80.mp4_frame10078.jpg,kayak
TRAIN_kayak_80.mp4_frame10079.jpg,kayak
TRAIN_kayak_80.mp4_frame1008.jpg,kayak
TRAIN_kayak_80.mp4_frame10080.jpg,kayak
TRAIN_kayak_80.mp4_frame10081.jpg,kayak
TRAIN_kayak_80.mp4_frame10082.jpg,kayak
TRAIN_kayak_80.mp4_frame10083.jpg,kayak
TRAIN_kayak_80.mp4_frame10084.jpg,kayak
TRAIN_kayak_80.mp4_frame10085.jpg,kayak
TRAIN_kayak_80.mp4_frame10086.jpg,kayak
TRAIN_kayak_80.mp4_frame10087.jpg,kayak
TRAIN_kayak_80.mp4_frame10088.jpg,kayak
